Location,1990 - 1995,1995 - 2000,2000 - 2005,2005 - 2010,2010 - 2015
Afghanistan,14.3,12.9,11,8.9,7.5
Albania,6.3,6.2,5.8,6.7,6.8
Algeria,6.1,5.3,4.9,4.7,4.8
Angola,22.3,19.8,15.7,12,9.3
Antigua and Barbuda,6.9,6.7,6.2,6.1,5.8
Argentina,8.1,7.8,7.8,7.7,7.6
Armenia,8.8,8.6,8.7,9.7,9.7
Australia,7,6.9,6.7,6.6,6.6
Austria,10.6,10,9.4,9.2,9.4
Azerbaijan,8.8,7.7,7.3,6.7,6.7
Bahamas,5.5,5.7,5.5,5.8,6
Bahrain,3.2,3,2.7,2.4,2.3
Bangladesh,9.3,7.5,6.5,5.9,5.4
Barbados,9.6,9.8,10.2,10.2,10.5
Belarus,12.3,14.6,15.4,15.2,13.4
Belgium,10.5,10.4,10.2,9.8,9.8
Belize,5.6,6.1,5.7,4.9,5.6
Benin,13.7,13.2,12.1,10.6,9.7
Bhutan,11.8,9.6,7.6,6.5,6.1
Bolivia,12.1,10.7,9.4,8.4,7.6
Bosnia and Herzegovina,8.6,8.3,8.4,9.4,10.4
Botswana,8.4,12.8,14.6,10.8,8.1
Brazil,6.9,6.2,5.9,5.9,5.9
Brunei,3.5,3.2,2.8,3,3.4
Bulgaria,13,14.3,14.4,14.8,15
Burkina Faso,16.9,16.2,14.6,11.9,9.6
Burundi,18.3,15,13.8,12.9,11.6
Cambodia,12.1,10.6,8.3,6.9,6.3
Cameroon,15.1,15.8,14.1,12.3,11.1
Canada,7.1,7.3,7.2,7.2,7.3
Cape Verde,7.9,6.7,5.5,5.6,5.7
Central African Republic,17.5,19,19.6,17.7,15.3
Chad,18.8,18,17.5,16.3,14
Chile,5.5,5.3,5.3,5.6,5.9
China,6.6,6.5,6.3,6.5,7
Colombia,6.1,5.7,5.6,5.6,5.8
Comoros,10.7,9.7,9.4,8.7,7.8
Congo,12.4,14,13.8,10.6,8.3
Costa Rica,4,4,4.1,4.4,4.7
C̫te d'Ivoire,14.2,16.4,17,15.1,13.4
Croatia,11.2,10.9,11.6,11.9,12.4
Cuba,7.2,7.1,7.2,7,7.6
Cyprus,6.9,6.9,6.8,6.8,6.8
Czech Republic,11.8,10.9,10.7,10.3,10.3
Democratic Republic of Congo,16.3,16.8,14.7,12.5,10.9
Denmark,11.8,11.3,10.7,10.1,9.5
Djibouti,11,10.3,10.2,9.4,8.5
Dominican Republic,6,6,6,6,6
Ecuador,5.8,5.4,5.2,5.2,5.2
Egypt,7.8,6.7,6.4,6.3,6.1
El Salvador,7.4,7,6.7,6.6,6.6
Eritrea,15.1,12.3,10.5,9,7.7
Estonia,13.9,13.8,13.3,12.8,11.7
Ethiopia,17.3,15.2,12.7,9.6,7.6
Fiji,6.2,6,6.2,6.5,6.8
Finland,9.9,9.7,9.4,9.4,9.5
France,9.3,9.2,9,8.6,8.8
Gabon,11,11.1,11.2,9.9,8.4
Gambia,13.8,12.3,10.9,9.6,8.6
Georgia,9.7,10,10.1,11.6,13.1
Germany,11.2,10.7,10.3,10.4,10.9
Ghana,10.3,10.7,10.5,9.6,8.8
Greece,9,9.1,9.1,9.4,10.2
Grenada,8.7,8.3,8.1,7.7,7.2
Guam,4.7,4.5,4.6,4.7,4.9
Guatemala,7.9,6.7,5.9,5.4,5
Guinea,16.1,15.4,15,12,10.4
Guinea-Bissau,16.3,14.5,13.6,12.6,11.4
Guyana,8.1,7.9,7.7,7.7,8.1
Haiti,12.4,11.3,10.6,9.7,8.9
Honduras,6.3,5.5,5.1,4.9,4.8
Hungary,14.2,13.8,13.2,13.2,12.6
Iceland,6.8,6.8,6.3,6.3,6.4
India,10.2,9.1,8.4,7.8,7.3
Indonesia,7.6,7.2,7.4,7.2,7.1
Iran,6,5.3,5.1,5.1,4.7
Iraq,6.4,5.7,5.6,5.8,5.3
Ireland,8.6,8.4,7.3,6.4,6.2
Israel,6.1,6,5.8,5.5,5.4
Italy,9.7,9.9,9.7,9.7,10.2
Jamaica,7.1,7.2,7.2,7,6.8
Japan,6.9,7.4,7.9,8.8,9.9
Jordan,4.7,4.3,4,3.9,3.8
Kazakhstan,9.5,11.6,10.8,10.4,8.9
Kenya,10.8,12.3,11.9,8.6,6.3
Kiribati,9.1,8,7.3,7.2,7.1
Kuwait,2.5,2.5,2.5,2.6,2.6
Kyrgyzstan,8.3,7.9,7.5,7.7,6.5
Laos,12.8,10.7,9,7.8,7
Latvia,14.4,14.4,14.1,14.7,14.3
Lebanon,6.6,5.9,5.2,4.7,4.6
Lesotho,10.1,13.2,17.4,15.3,13.6
Liberia,17.6,14.4,13.9,10.3,8.8
Libya,4.9,4.8,4.8,4.7,5.2
Lithuania,11.8,12.3,12.4,14,13.5
Luxembourg,9.9,9.3,8.6,8.2,7.4
Macedonia,7.9,8.2,8.5,9.3,9.6
Madagascar,14.1,11.4,9.2,7.9,6.9
Malawi,18,17.1,15.6,11.7,8.3
Malaysia,4.8,4.5,4.4,4.7,4.7
Maldives,7.5,5.5,4.1,3.4,3.5
Mali,19.9,19.4,16.7,13.6,11.6
Malta,7.6,7.6,7.7,8.1,8.7
Mauritania,10.3,9.7,9.4,8.9,8.2
Mauritius,6.1,6.6,6.7,7.1,7.4
Mexico,5.2,4.8,4.6,4.6,4.8
Micronesia,6.4,6.3,6.4,6.3,6.2
Moldova,10.8,11.7,11.7,12.2,11.4
Mongolia,9.4,8.3,7.2,6.9,6.3
Montenegro,7.4,9.3,10,10.4,9.7
Morocco,6.9,6.5,6.1,5.5,5.2
Mozambique,20.3,17.5,15.4,13,11.2
Myanmar,9.9,9.3,8.9,8.5,8.1
Namibia,8.6,9.8,11.9,11.4,8.3
Nepal,11.6,9.4,7.8,7,6.5
Netherlands,8.7,8.8,8.7,8.2,8.3
New Zealand,7.6,7.4,7.1,6.8,6.9
Nicaragua,6.5,5.6,5.1,4.9,4.8
Niger,21.7,18.6,16,13.1,10.7
Nigeria,18.5,18.2,17.3,15.1,13.6
North Korea,5.8,9.4,8.3,9,8.6
Norway,10.5,10.1,9.5,8.8,8.2
Oman,4.8,3.8,3.3,2.9,2.7
Pakistan,10.2,9.2,8.4,8,7.5
Panama,4.9,4.8,4.8,4.9,5
Papua New Guinea,9.1,8.6,8,7.4,7.2
Paraguay,6.2,6,5.6,5.6,5.6
Peru,6.9,6.1,5.6,5.5,5.6
Philippines,6.4,6.1,6,6,6.4
Poland,10.2,9.9,9.4,9.8,9.9
Portugal,10.2,10.4,10.2,9.8,10.3
Puerto Rico,7.9,8,8,8,7.9
Qatar,2.1,2.1,1.9,1.6,1.5
Romania,11.4,12.3,12.1,12.5,12.4
Russia,13.3,14.6,16,14.9,13.4
Rwanda,43.6,16.3,14.2,9.1,6.8
Saint Lucia,7,7.4,7.2,6.6,7.4
Saint Vincent and the Grenadines,6.7,7.1,7.5,7.3,7
Samoa,6.9,6.3,5.9,5.6,5.1
Sao Tome and Principe,9.8,9.3,8.7,7.7,7.1
Saudi Arabia,4.6,3.9,3.6,3.6,3.5
Senegal,11.1,11.1,10,8.2,6.6
Serbia,10,10.8,11.8,12.4,12.4
Seychelles,7.3,7.4,7.2,7.5,7.9
Sierra Leone,27.5,26.2,21.4,17.4,13.9
Singapore,4.2,4.6,4.5,4.5,4.7
Slovakia,10.1,9.8,9.7,9.9,9.6
Slovenia,9.8,9.6,9.5,9.2,9.2
Solomon Islands,10,8.3,6.9,5.9,5.1
Somalia,20,16.4,14.9,13.6,12.3
South Africa,8.2,9.9,13.3,14.4,11.2
South Korea,5.6,5.4,5.3,5.2,5.5
Spain,8.6,8.9,8.8,8.5,8.6
Sri Lanka,6.6,7.7,6.1,6.4,6.6
Sudan,11.8,10.8,9.8,8.7,7.8
Suriname,7.2,7.3,7.5,7.2,7.1
Swaziland,9.3,12,15.6,14.3,10.8
Sweden,11,10.7,10.5,9.9,9.5
Switzerland,9.2,8.9,8.5,8.1,8.1
Syria,4.2,3.9,3.6,3.5,5.4
Taiwan,5.5,5.9,5.9,6.3,6.8
Tajikistan,9.6,7.8,6.4,5.7,5.3
Tanzania,15.1,14.5,12.1,9.6,7.9
Thailand,6.1,6.6,7,7.2,7.5
Timor,14.6,11,8.1,6.3,5.9
Togo,11.9,12.7,12.4,11.1,9.3
Tonga,6.1,6.2,6.2,6.2,6.1
Trinidad and Tobago,7.6,7.8,8.3,8.9,9.2
Tunisia,5.8,5.5,5.7,6,6.4
Turkey,7.8,6.9,6.2,5.9,5.8
Turkmenistan,8.6,7.9,7.7,7.3,7.2
Uganda,18.6,17.6,14,11.1,9.4
Ukraine,13.6,15.2,15.9,16.3,14.9
United Arab Emirates,2.5,2.1,1.8,1.5,1.5
United Kingdom,11.2,10.9,10.2,9.4,9
United States,8.8,8.7,8.5,8.2,8.2
United States Virgin Islands,5.5,5.8,6.4,7.2,7.7
Uruguay,9.7,9.4,9.4,9.2,9.3
Uzbekistan,7.5,6.9,6.4,6.2,5.9
Vanuatu,7.7,6.8,5.7,5,4.8
Venezuela,5.2,5,5,5.2,5.5
Vietnam,6.1,5.6,5.5,5.6,5.8
Yemen,10.9,9.6,8.6,7.5,6.8
Zambia,18.6,18.4,15.6,11.9,8.8
Zimbabwe,10.9,14.6,16.9,14.2,9.6